"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","Shannon.age",-8,0.0649105280754899,0.107718278407723,0.964694931933257,1.44338171148816e-08
50,50,4,"cv","Shannon.age",-7,0.140069860951059,0.0958702190631751,0.00635528422852749,9.42312920919825e-27
50,50,4,"cv","Shannon.age",-6,0.0260151792457263,0.130927116974167,0.0641134326023778,0.0248430120360371
50,50,4,"cv","Shannon.age",-5,0.0298768636332361,0.105005502636963,0.0326257135943189,0.00269664795671116
50,50,4,"cv","Shannon.age",-4,-0.0695105515672488,0.119205575276685,0.0255375408438456,0.999999965378547
50,50,4,"cv","Shannon.age",-3,0.0432166744444496,0.111268231162492,0.26504598877832,9.28199154577272e-05
50,50,4,"cv","Shannon.age",-2,0.121690488451634,0.120094504506011,4.72451181354749e-06,2.80635530784739e-17
50,50,4,"cv","Shannon.age",-1,0.200424506630478,0.104469771026357,1.38948963446239e-09,2.00678273775728e-35
50,50,4,"cv","Shannon.age",0,0.0804206103125647,0.111362013931216,1.62687221838542e-05,5.35037869211558e-11
50,50,5,"cv","Total.CPUE",-8,-0.0283513459796154,0.101726377334212,1.62687221838542e-05,0.996811192733685
50,50,5,"cv","Total.CPUE",-7,-0.129757185735584,0.111211408977307,0.00237216390671047,1
50,50,5,"cv","Total.CPUE",-6,-0.14735103558875,0.110670250811725,0.450284886272046,1
50,50,5,"cv","Total.CPUE",-5,-0.0373925060135862,0.116185582941111,0.00635528422852749,0.999128266801952
50,50,5,"cv","Total.CPUE",-4,0.0399523550841191,0.0902467798364019,4.72451181354749e-06,1.23144168540163e-05
50,50,5,"cv","Total.CPUE",-3,-0.0504615327789488,0.107133478522541,0.75655502544518,0.999995960256865
50,50,5,"cv","Total.CPUE",-2,0.0327729234345145,0.111633863981678,0.000514926454439069,0.00206861509508166
50,50,5,"cv","Total.CPUE",-1,0.0688992972563958,0.094498159860542,1.17934845844658e-06,3.82633025777664e-11
50,50,5,"cv","Total.CPUE",0,-0.0562786109921834,0.0911490147558024,0.0788206784827414,0.999999992647052
50,50,6,"cv","AMO",-8,-0.0650010747456664,0.0995958657494544,0.894351259969982,0.999999998553136
50,50,6,"cv","AMO",-7,0.0557776492488691,0.0891396942445033,1.38948963446239e-09,5.02847244732642e-09
50,50,6,"cv","AMO",-6,-0.0864415963720881,0.128770251819285,0.139049963024319,0.999999999395973
50,50,6,"cv","AMO",-5,-0.0280661126044184,0.131843042126209,4.72451181354749e-06,0.982121887639912
50,50,6,"cv","AMO",-4,-0.103491223342533,0.109608743781784,0.0255375408438456,0.999999999999999
50,50,6,"cv","AMO",-3,-0.0365114387710246,0.11088181409226,0.26504598877832,0.999311979569379
50,50,6,"cv","AMO",-2,0.0163609291282443,0.122147221369799,0.000514926454439069,0.0917466300308301
50,50,6,"cv","AMO",-1,0.127317393647677,0.145437289453015,2.8762465771548e-05,2.83440357935686e-14
50,50,6,"cv","AMO",0,0.207240272065168,0.0955227192590196,3.98309214499903e-08,1.05288300744075e-39
50,50,9,"cv","MeanSST",-8,0.290216844963564,0.0927224922549749,0.0197806317594083,1.89949315668605e-53
50,50,9,"cv","MeanSST",-7,0.293339459731195,0.0937601045978183,0.194916733337412,1.9737772179671e-53
50,50,9,"cv","MeanSST",-6,0.292541140859231,0.0896001034520195,0.305726548153443,4.18509459707175e-55
50,50,9,"cv","MeanSST",-5,0.308814315419144,0.0974926278119376,0.139049963024319,6.47418185042436e-54
50,50,9,"cv","MeanSST",-4,0.266405731562038,0.0958837108463938,0.0960497087334704,7.61309879430009e-49
