"Year","Quarter","MeanSST","CVofSST"
1991,1,6.36886584516463,0.239513018939867
1991,3,15.067227665971,0.11268993639948
1992,1,6.9100284576416,0.192884053501573
1992,3,14.3504959083185,0.119196260789488
1993,1,6.53261381823842,0.214263267047849
1993,3,13.6344389876699,0.126540182397954
1994,1,5.96166260649518,0.26915012348923
1994,3,15.0038333404355,0.120779413574897
1995,1,6.97009755247008,0.205794450429034
1995,3,15.595308924109,0.125441294913477
1996,1,5.88516665877759,0.378315395304722
1996,3,14.8229471648612,0.105102726277542
1997,1,6.07623577311756,0.268612888528395
1997,3,16.052499984338,0.130286547352668
1998,1,7.64981706064891,0.185210773916036
1998,3,14.3416056865599,0.122750042721937
1999,1,6.91814227898916,0.225189741931542
1999,3,15.5294918897675,0.137462750670934
2000,1,6.98453659061494,0.186715881017611
2000,3,14.7670813149553,0.121572646182232
2001,1,6.97102845393545,0.198299865428461
2001,3,14.9069715127712,0.122176578743872
2002,1,7.30330485153974,0.203575576422688
2002,3,16.3575040925809,0.115753137553171
2003,1,6.77392680712832,0.291255434263716
2003,3,16.3468862200171,0.0970765306065954
2004,1,7.16102032738972,0.2333241041971
2004,3,15.6564186530385,0.103427791700647
2005,1,7.208878036437,0.192482490186889
2005,3,14.8503495386946,0.130226659904636
2006,1,7.23209756564319,0.212576997966745
2006,3,15.9932601703861,0.117208770374236
2007,1,8.01919511178645,0.162046760878815
2007,3,14.7362804451609,0.1186274750297
2008,1,7.74067881243016,0.171237260984944
2008,3,15.3881138204559,0.092020802414949
2009,1,6.50978048206345,0.257973924873954
2009,3,15.6189187096386,0.107557412678227
2010,1,6.16665038583058,0.329364455357644
2010,3,15.0928333173922,0.103784348098838
2011,1,5.92326829099377,0.340914051054892
2011,3,14.8553373988082,0.103895264769802
2012,1,7.3265568977449,0.197831678300459
2012,3,14.9824430845617,0.124662338794865
2013,1,6.66193497665529,0.252676576989073
2013,3,15.3374146290911,0.114241210495512
2014,1,7.1713699141169,0.191106711643631
2014,3,15.699768252489,0.113152468982936
2015,1,7.20002842918644,0.185692851130738
2015,3,14.9395853368247,0.114783719368151
